,Donor City,Donor State,Donor Is Teacher,Teacher Project Posted Sequence,Project Type,Project Grade Level Category,Project Cost,Donated_y_n,School Metro Type,School Percentage Free Lunch,School State,School City,Project_res_total_cost,Donor_vs_school_state,Donor_vs_school_city,Project_posted_month,Project_posted_day_of_month,Num_hist_donations,Days_since_last_donation,Avg_days_between_donations,Avg_donations_per_proj,Interest_in_optional,Total_interest_in_cat,Total_interest_in_subcat,Interest_in_res,Interest_in_grade,Interest_in_proj_type,Interest_in_metro,Interest_in_county,Interest_in_district,Interest_in_zip,Donation_month,Interest_in_month,Total_project_interest,Donor Cluster,School Cluster,Project Cluster,Distance,School Population,School Population Density,School Occupied Housing Units,School Median Home Value,School Median Household Income,Donor Population,Donor Population Density,Donor Occupied Housing Units,Donor Median Home Value,Donor Median Household Income
0,,other,1,1,2,1,0.04458521346754599,Y,0.0,0.7872340425531914,Michigan,Jackson,0.06036281179138322,0,0,8,7,3,24.009594907407408,3.8580246875e-06,3.0,0.6666666666666666,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,11.0,2,3,0,,0.4461822526338656,0.008226564019899392,0.5983216783216784,0.1098421229425596,0.27228987775961694,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
1,San Antonio,Texas,1,66,2,1,0.04614583611459695,Y,0.0,0.26595744680851063,Florida,Orange Park,0.06801848944706088,0,0,8,28,2483,0.2074537037037037,0.685216145716794,1.583545918367347,0.05074506645187273,0.019331453886427707,0.015304067660088603,0.00724929520741039,0.011679420056383408,0.03302456705598067,0.00684655658477648,0.0016109544905356424,0.0016109544905356424,0.0016109544905356424,8.0,0.17358034635521546,0.09826822392267417,2,0,0,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.4473484137876559,0.17806620160640338,0.6592607392607392,0.05167345092718227,0.12514153557059915
2,Williamston,South Carolina,1,55,2,1,0.05626785571249299,Y,3.0,0.9574468085106383,South Carolina,Anderson,0.07076399790685504,1,0,6,22,265,0.1986111111111111,3.8263195754716897,1.2045454545454546,0.9622641509433962,0.09811320754716982,0.018867924528301886,0.08679245283018867,0.09433962264150944,0.15849056603773584,0.08679245283018867,0.052830188679245285,0.052830188679245285,0.052830188679245285,6.0,0.08679245283018867,0.7018867924528301,2,3,0,0.0,0.10415000444325957,0.06853617186848615,0.18445554445554446,0.2579778300302318,0.13477903880537456,0.10416769517866488,0.06853617186848615,0.18445554445554446,0.2506784260515604,0.10578428774482643
3,Panama City,Florida,0,1,2,3,0.021093103356206438,Y,3.0,0.3191489361702127,Florida,Panama City,0.04060701203558346,1,1,8,30,191,1.1843055555555555,7.1111331079115745,1.0,0.581151832460733,0.05759162303664921,0.015706806282722512,0.05759162303664921,0.02617801047120419,0.09947643979057591,0.0,0.0,0.0,0.0,8.0,0.14136125654450263,0.25654450261780104,2,0,2,0.0,0.22359469573545818,0.05883660820988855,0.38505494505494503,0.09248684357854663,0.15870531089573886,0.2236100277451397,0.05883660820988855,0.38505494505494503,0.08355947535052013,0.12456334770772604
4,Hyattsville,Maryland,0,4,2,2,0.08477959041999306,Y,0.0,0.8404255319148936,Maryland,Bladensburg,0.10413396127681841,1,0,6,13,9,72.53600694444444,16.548549382716043,1.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,6.0,0.2222222222222222,1.0000000000000002,2,3,5,0.0,0.0,5.558489202634724e-05,3.996003996003996e-05,0.25082632508851854,0.274623438936779,1.9747430365623675e-05,5.558489202634724e-05,3.996003996003996e-05,0.29637086791517037,0.26091688864662055
5,Raleigh,North Carolina,0,3,2,2,0.013841347822604325,Y,3.0,0.4148936170212766,North Carolina,Raleigh,0.030340136054421766,1,1,5,15,3,639.5169560185185,67.97149691358024,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3333333333333333,0.0,2,0,2,0.0,0.09328870325937774,0.14638281315138546,0.1335864135864136,0.18183853991714252,0.06944604311026191,0.09330660847757186,0.14638281315138546,0.1335864135864136,0.17379014020805067,0.054506251656267324
6,Prospect Park,Pennsylvania,0,1,2,1,0.01095639868635356,Y,0.0,0.4148936170212766,Pennsylvania,Prospect Park,0.026869004011861153,1,1,8,31,12,8.401284722222222,43.54996624228394,1.0,0.5,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.16666666666666666,8.0,0.5,2.25,2,0,2,0.0,0.16803420322481905,0.1366276646007615,0.2534665334665335,0.24857238831037956,0.4131540781325537,0.16805063241145746,0.1366276646007615,0.2534665334665335,0.24118046132971505,0.32427304921824185
7,San Francisco,California,0,1,2,1,0.10280885376338343,Y,3.0,0.8191489361702127,Louisiana,New Orleans,0.11969823826966684,0,0,6,1,28,37.079293981481484,0.3283403604497338,1.037037037037037,0.42857142857142855,0.75,0.5357142857142857,0.39285714285714285,0.42857142857142855,0.8928571428571429,0.8928571428571429,0.10714285714285714,0.07142857142857142,0.03571428571428571,,,4.107142857142857,2,3,5,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
8,Maplewood,New Jersey,1,1,2,4,0.132882546124476,Y,3.0,0.8723404255319148,Pennsylvania,Philadelphia,0.16292342578056862,0,0,8,23,4,8.14800925925926,0.015523726851851851,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,9.0,2,3,5,0.011956966686659722,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.160990926055747,0.11981323476279147,0.19408591408591408,0.2814337403889643,0.34111277072442125
9,Bala Cynwyd,Pennsylvania,0,2,2,1,0.05554962219314874,Y,3.0,0.9361702127659574,Pennsylvania,Philadelphia,0.07830804116518403,1,0,8,4,15,23.321273148148148,39.73552237654321,1.0,1.0,0.3333333333333333,0.2,0.4,0.26666666666666666,0.4,0.4,0.4,0.4,0.06666666666666667,8.0,0.4,2.8666666666666667,2,3,0,0.0016878413342149097,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.16805063241145746,0.1366276646007615,0.2534665334665335,0.24118046132971505,0.32427304921824185
10,Chicago,Illinois,1,1,2,2,0.03143940405307985,Y,0.0,0.7872340425531914,Illinois,Montgomery,0.05192569335426478,1,0,7,10,6,52.177337962962966,112.58073881172838,1.5,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,7.0,0.16666666666666666,1.8333333333333335,2,3,2,0.002576958918532509,0.11477433178312944,0.06681304021566938,0.13938061938061938,0.16571492554025302,0.26039580407774887,0.10969697568103952,0.800227898057308,0.2692907092907093,0.5163952962460425,0.48815919439157773
11,Gardnerville Ranchos,Nevada,0,95,2,1,0.011264785197447464,Y,3.0,0.38297872340425526,Nevada,Carson City,0.02702075702075702,1,0,6,25,115,7.423009259259259,11.13100171095007,1.0,0.991304347826087,0.06956521739130435,0.026086956521739132,0.0782608695652174,0.08695652173913043,0.12173913043478261,0.11304347826086956,0.10434782608695652,0.10434782608695652,0.034782608695652174,6.0,0.043478260869565216,0.7391304347826086,2,0,2,,0.2727470205476071,0.02303993774492093,0.3873726273726274,0.1762400627029448,0.27815250504538935,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
12,Southampton,New York,0,15,2,1,0.018062638506928682,Y,1.0,0.6170212765957447,West Virginia,Wayne,0.037289377289377285,0,0,8,18,9,393.14841435185184,39.131909722222225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.4444444444444444,0.0,2,0,2,0.10656713075956271,0.011137770668562457,0.0012506600705928129,0.01866133866133866,0.04266039637218676,0.22045473729444354,0.26828858894736324,0.013701675884494594,0.3866933066933067,0.3216870194482135,0.22191572911898624
13,Los Angeles,California,0,5,2,2,0.2054655167810322,Y,3.0,0.3404255319148936,California,Los Angeles,0.2223024594453166,1,1,8,28,15,137.11130787037038,36.223905864197526,1.0714285714285714,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.06666666666666667,0.0,2,0,3,0.0,0.563879261826476,0.45318362469080903,0.5183216783216783,0.2472287537789721,0.15802236085852195,0.563887874090384,0.45318362469080903,0.5183216783216783,0.2398236092265943,0.12402731937652076
14,Studio City,California,0,38,2,2,0.07648786479053747,Y,3.0,0.9148936170212766,California,N Hollywood,0.09284842141985002,1,0,7,17,20,22.45633101851852,30.189218171296297,1.0,1.0,0.1,0.05,0.2,0.15,0.25,0.25,0.25,0.25,0.1,7.0,0.05,1.6,2,3,0,0.0,0.3670922321948715,0.38987243267279953,0.6381618381618381,0.48751539581233905,0.26193052326250604,0.3671047304969441,0.38987243267279953,0.6381618381618381,0.4824739936680235,0.20558192199282085
15,Dover,New Hampshire,0,6,2,2,0.26777160708087466,Y,3.0,0.7659574468085106,Georgia,Atlanta,0.29075178789464506,0,0,6,9,47,5.296643518518518,28.810578211189906,1.0,0.9787234042553191,0.0,0.0,0.0425531914893617,0.0,0.06382978723404255,0.0425531914893617,0.0,0.0,0.0,,,0.14893617021276595,2,3,1,0.19502952835575965,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.21260083531630447,0.025124371195908952,0.41182817182817183,0.33276797829036636,0.3062649064058397
16,Milwaukee,Wisconsin,0,15,2,4,0.09962886818145407,Y,3.0,0.8404255319148936,Wisconsin,Milwaukee,0.12653933368219084,1,1,7,20,3,12.58068287037037,107.65388503086419,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,,,5.333333333333333,2,3,5,0.0,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
17,College Station,Texas,0,2,2,2,0.08680212533041412,Y,0.0,0.7872340425531914,North Carolina,Salisbury,0.10154020582592009,0,0,7,24,904,3.4144212962962963,1.870516582677801,1.0033296337402886,0.05530973451327434,0.023230088495575223,0.012168141592920354,0.035398230088495575,0.016592920353982302,0.06637168141592921,0.0055309734513274336,0.004424778761061947,0.004424778761061947,0.004424778761061947,7.0,0.059734513274336286,0.17256637168141595,2,3,5,0.1883833288863722,0.006872241476347048,0.021678107890275425,0.010949050949050949,0.12428619415518977,0.18965292325636718,0.15253902585926007,0.13362608043133875,0.25514485514485513,0.08073270013568522,0.052145317882868775
18,Glen Allen,Virginia,1,7,2,1,0.05449897204496301,Y,1.0,0.06382978723404256,Virginia,Moseley,0.07715681144252573,1,0,8,8,10,3.2808449074074075,73.39857175925926,1.0,1.0,0.4,0.1,0.4,0.2,0.6,0.6,0.4,0.4,0.4,8.0,0.7,3.5,2,0,0,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.2282562365375023,0.18005417027122927,0.36265685019206145,0.29637086791517037,0.26091688864662055
19,Clifton,New Jersey,1,53,2,4,0.027324913892078067,Y,0.0,0.5425531914893617,New Jersey,Clifton,0.04742543171114599,1,1,5,22,602,0.09864583333333334,2.576812842223449,1.2336065573770492,0.11794019933554817,0.14617940199335547,0.09136212624584716,0.11129568106312292,0.15448504983388706,0.36046511627906974,0.1611295681063123,0.08970099667774087,0.08970099667774087,0.08970099667774087,5.0,0.16777408637873753,1.2940199335548173,2,0,2,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.160990926055747,0.11981323476279147,0.19408591408591408,0.2814337403889643,0.34111277072442125
20,Clifton,New Jersey,1,182,2,4,0.11155314661041837,Y,0.0,0.5425531914893617,New Jersey,Clifton,0.13958660387231814,1,1,6,21,602,0.09864583333333334,2.576812842223449,1.2336065573770492,0.11794019933554817,0.16777408637873753,0.1511627906976744,0.20764119601328904,0.15448504983388706,0.36046511627906974,0.1611295681063123,0.08970099667774087,0.08970099667774087,0.08970099667774087,6.0,0.4318936877076412,1.4717607973421927,2,0,5,,0.2329609595760502,0.1643460955050627,0.36504254167391803,0.25082632508851854,0.274623438936779,0.160990926055747,0.11981323476279147,0.19408591408591408,0.2814337403889643,0.34111277072442125
